timestamp,open,high,low,close,volume
2019-12-20,157.3500,158.4900,156.2900,157.4100,53599613
2019-12-19,154.0000,155.7700,153.7500,155.7100,25813825
2019-12-18,154.3000,155.4800,154.1800,154.3700,24132379
2019-12-17,155.4500,155.7100,154.4500,154.6900,25443527
2019-12-16,155.1100,155.9000,154.8200,155.5300,24152770
2019-12-13,153.1106,154.8900,152.8300,154.5300,23850062
2019-12-12,151.6500,153.4400,151.0200,153.2400,24645366
2019-12-11,151.5400,151.8700,150.3300,151.7000,18860001
2019-12-10,151.2900,151.8900,150.7650,151.1300,16481060
2019-12-09,151.0700,152.2100,150.9100,151.3600,16741350
2019-12-06,150.9900,151.8700,150.2700,151.7500,16410400
2019-12-05,150.0500,150.3200,149.4800,149.9300,17880601
2019-12-04,150.1400,150.1799,149.2000,149.8500,17580617
2019-12-03,147.4900,149.4300,146.6500,149.3100,25192145
2019-12-02,151.8100,151.8300,148.3200,149.5500,27473616
2019-11-29,152.1000,152.3000,151.2800,151.3800,11977300
2019-11-27,152.3300,152.5000,151.5200,152.3200,15201293
2019-11-26,151.3600,152.4200,151.3200,152.0300,24635100
2019-11-25,150.0000,151.3500,149.9200,151.2300,22428585
2019-11-22,150.0700,150.3000,148.8200,149.5900,15841680
2019-11-21,149.4000,149.8000,148.5010,149.4800,18576083
2019-11-20,150.3100,150.8400,148.4600,149.6200,25720060
2019-11-19,150.8800,151.3300,150.1950,150.3900,23960164
2019-11-18,150.0700,150.5500,148.9800,150.3400,21554762
2019-11-15,148.9300,149.9900,148.2700,149.9700,23508807
2019-11-14,147.0200,148.4100,147.0000,148.0600,19755100
2019-11-13,146.7400,147.4625,146.2800,147.3100,17444230
2019-11-12,146.2800,147.5700,146.0600,147.0700,18648712
2019-11-11,145.3400,146.4200,144.7300,146.1100,14370178
2019-11-08,143.9800,145.9900,143.7600,145.9600,16752939
2019-11-07,143.8400,144.8800,143.7700,144.2600,17786715
2019-11-06,144.3700,144.5200,143.2000,144.0600,16575798
2019-11-05,144.9700,145.0200,143.9050,144.4600,18250172
2019-11-04,144.8300,145.0000,144.1600,144.5500,16911999
2019-11-01,144.2600,144.4200,142.9650,143.7200,33128366
2019-10-31,144.9000,144.9300,142.9900,143.3700,24605135
2019-10-30,143.5200,145.0000,142.7900,144.6100,18496591
2019-10-29,144.0800,144.5000,142.6500,142.8300,20589469
2019-10-28,144.4000,145.6700,143.5100,144.1900,34912902
2019-10-25,139.3400,141.1400,139.2000,140.7300,25959724
2019-10-24,139.3900,140.4200,138.6700,139.9400,37278399
2019-10-23,136.8800,137.4500,135.6100,137.2400,31380309
2019-10-22,138.9700,140.0100,136.2600,136.3700,27935270
2019-10-21,138.4500,138.5000,137.0100,138.4300,20078066
2019-10-18,139.7600,140.0000,136.5600,137.4100,30650850
2019-10-17,140.9500,141.4200,139.0200,139.6900,22102797
2019-10-16,140.7900,140.9900,139.5300,140.4100,20841687
2019-10-15,140.0600,141.7900,139.8100,141.5750,19917762
2019-10-14,139.6900,140.2900,139.5200,139.5500,13591639
2019-10-11,140.1200,141.0300,139.5000,139.6800,25551065
2019-10-10,138.4900,139.6699,138.2500,139.1000,18396605
2019-10-09,137.4600,138.7000,136.9700,138.2400,20178482
2019-10-08,137.0800,137.7600,135.6200,135.6700,26783336
2019-10-07,137.1400,138.1800,137.0200,137.1200,16601284
2019-10-04,136.7500,138.2500,136.4200,138.1200,23839548
2019-10-03,134.9500,136.7500,133.2200,136.2800,26379798
2019-10-02,136.2500,136.3700,133.5799,134.6500,32001763
2019-10-01,139.6600,140.2500,137.0000,137.0700,22581929
2019-09-30,138.0500,139.2150,137.7800,139.0300,18430390
